teacher_rank,student_dim,gnc_gen_seed=0
1,10,0.7488567569646342
1,11,1.4394111910627947
1,12,1.8522527952763168
1,13,2.153823766708374
1,14,1.565383144115147
1,15,2.263796128075698
1,16,2.0005039498209953
1,17,2.641704314825486
1,18,2.877501283751594
1,19,1.9225954090555508
1,20,1.7051457374725703
1,21,2.7715981006622314
1,22,1.8995819636961309
1,23,3.1711330439363206
1,24,2.5864281562658458
1,25,2.541038438677788
1,26,2.9719801438160434
1,27,3.3253529362189465
1,28,2.166669764395418
1,29,2.100728142720002
1,30,2.2322589779893556
1,31,2.732823650042216
1,32,3.32078236579895
1,33,2.9726360931115994
1,34,4.781967401504517
1,35,3.075969026369207
1,36,3.618242859840393
1,37,2.9561017751693726
1,38,3.060453601181507
1,39,2.0598734319210052
